nodesum = 116,edgesum = 546,Round = 462,failcases = 52.57,bottlenecks = 7.33,random_nodesnum = 87.13,random_edgesnum = 212.83,average_time = 58.03
nodesum = 141,edgesum = 661,Round = 559,failcases = 64.90,bottlenecks = 6.97,random_nodesnum = 97.50,random_edgesnum = 233.77,average_time = 93.60
nodesum = 36,edgesum = 141,Round = 121,failcases = 13.17,bottlenecks = 3.40,random_nodesnum = 32.63,random_edgesnum = 81.23,average_time = 2.70
nodesum = 70,edgesum = 318,Round = 271,failcases = 114.67,bottlenecks = 6.07,random_nodesnum = 53.87,random_edgesnum = 142.17,average_time = 20.33
nodesum = 103,edgesum = 393,Round = 327,failcases = 62.07,bottlenecks = 7.17,random_nodesnum = 78.27,random_edgesnum = 182.47,average_time = 33.00
nodesum = 144,edgesum = 691,Round = 582,failcases = 98.40,bottlenecks = 9.00,random_nodesnum = 103.10,random_edgesnum = 252.53,average_time = 112.07
nodesum = 120,edgesum = 506,Round = 422,failcases = 34.80,bottlenecks = 4.83,random_nodesnum = 88.80,random_edgesnum = 201.50,average_time = 50.70
nodesum = 10,edgesum = 21,Round = 22,failcases = 42.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 3.00,average_time = 0.07
nodesum = 116,edgesum = 624,Round = 535,failcases = 10.20,bottlenecks = 3.80,random_nodesnum = 85.03,random_edgesnum = 221.43,average_time = 64.00
nodesum = 78,edgesum = 268,Round = 217,failcases = 117.67,bottlenecks = 10.77,random_nodesnum = 60.07,random_edgesnum = 142.83,average_time = 22.03
nodesum = 134,edgesum = 679,Round = 580,failcases = 82.87,bottlenecks = 7.37,random_nodesnum = 95.80,random_edgesnum = 237.20,average_time = 95.87
nodesum = 14,edgesum = 49,Round = 44,failcases = 86.00,bottlenecks = 1.00,random_nodesnum = 9.00,random_edgesnum = 6.00,average_time = 0.47
nodesum = 85,edgesum = 338,Round = 278,failcases = 103.83,bottlenecks = 9.43,random_nodesnum = 70.23,random_edgesnum = 166.07,average_time = 31.70
nodesum = 38,edgesum = 163,Round = 142,failcases = 30.97,bottlenecks = 4.63,random_nodesnum = 34.87,random_edgesnum = 99.43,average_time = 4.10
nodesum = 139,edgesum = 663,Round = 564,failcases = 101.13,bottlenecks = 8.67,random_nodesnum = 96.17,random_edgesnum = 234.27,average_time = 103.13
nodesum = 60,edgesum = 268,Round = 226,failcases = 55.07,bottlenecks = 3.70,random_nodesnum = 47.67,random_edgesnum = 125.07,average_time = 10.90
nodesum = 44,edgesum = 220,Round = 195,failcases = 162.23,bottlenecks = 4.00,random_nodesnum = 37.33,random_edgesnum = 100.77,average_time = 8.33
nodesum = 25,edgesum = 120,Round = 110,failcases = 1.97,bottlenecks = 1.57,random_nodesnum = 24.33,random_edgesnum = 71.10,average_time = 2.33
nodesum = 142,edgesum = 690,Round = 585,failcases = 61.70,bottlenecks = 8.43,random_nodesnum = 103.70,random_edgesnum = 262.57,average_time = 105.23
nodesum = 17,edgesum = 60,Round = 57,failcases = 11.87,bottlenecks = 2.40,random_nodesnum = 16.90,random_edgesnum = 47.07,average_time = 0.40
nodesum = 15,edgesum = 50,Round = 47,failcases = 5.87,bottlenecks = 2.47,random_nodesnum = 15.00,random_edgesnum = 37.17,average_time = 0.67
nodesum = 125,edgesum = 609,Round = 518,failcases = 73.70,bottlenecks = 6.70,random_nodesnum = 92.73,random_edgesnum = 229.90,average_time = 75.37
nodesum = 130,edgesum = 638,Round = 545,failcases = 23.73,bottlenecks = 7.30,random_nodesnum = 96.03,random_edgesnum = 247.23,average_time = 79.03
nodesum = 73,edgesum = 302,Round = 254,failcases = 31.73,bottlenecks = 5.80,random_nodesnum = 59.97,random_edgesnum = 149.30,average_time = 14.37
nodesum = 92,edgesum = 373,Round = 316,failcases = 110.27,bottlenecks = 7.03,random_nodesnum = 67.87,random_edgesnum = 157.27,average_time = 33.67
nodesum = 76,edgesum = 290,Round = 241,failcases = 72.80,bottlenecks = 8.50,random_nodesnum = 63.13,random_edgesnum = 148.20,average_time = 17.70
nodesum = 92,edgesum = 384,Round = 320,failcases = 57.83,bottlenecks = 6.70,random_nodesnum = 74.67,random_edgesnum = 186.97,average_time = 28.00
nodesum = 40,edgesum = 134,Round = 113,failcases = 65.97,bottlenecks = 5.40,random_nodesnum = 34.63,random_edgesnum = 81.47,average_time = 3.73
nodesum = 26,edgesum = 84,Round = 76,failcases = 151.00,bottlenecks = 1.00,random_nodesnum = 10.00,random_edgesnum = 8.00,average_time = 1.67
nodesum = 124,edgesum = 620,Round = 530,failcases = 58.57,bottlenecks = 5.50,random_nodesnum = 88.77,random_edgesnum = 222.33,average_time = 71.67
nodesum = 97,edgesum = 521,Round = 445,failcases = 107.97,bottlenecks = 4.77,random_nodesnum = 70.73,random_edgesnum = 191.07,average_time = 46.00
nodesum = 15,edgesum = 26,Round = 26,failcases = 51.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 0.07
nodesum = 74,edgesum = 326,Round = 273,failcases = 57.40,bottlenecks = 6.83,random_nodesnum = 57.80,random_edgesnum = 145.20,average_time = 18.63
nodesum = 31,edgesum = 125,Round = 107,failcases = 151.13,bottlenecks = 5.03,random_nodesnum = 27.90,random_edgesnum = 71.30,average_time = 4.67
nodesum = 41,edgesum = 159,Round = 136,failcases = 37.57,bottlenecks = 2.90,random_nodesnum = 33.13,random_edgesnum = 83.13,average_time = 3.67
nodesum = 116,edgesum = 513,Round = 428,failcases = 109.00,bottlenecks = 7.50,random_nodesnum = 86.77,random_edgesnum = 207.30,average_time = 61.33
nodesum = 19,edgesum = 58,Round = 48,failcases = 62.60,bottlenecks = 4.30,random_nodesnum = 17.83,random_edgesnum = 41.63,average_time = 0.73
nodesum = 63,edgesum = 248,Round = 207,failcases = 55.83,bottlenecks = 6.17,random_nodesnum = 51.83,random_edgesnum = 121.53,average_time = 11.67
nodesum = 93,edgesum = 403,Round = 340,failcases = 52.43,bottlenecks = 6.73,random_nodesnum = 73.00,random_edgesnum = 181.43,average_time = 30.00
nodesum = 151,edgesum = 735,Round = 620,failcases = 63.03,bottlenecks = 6.10,random_nodesnum = 110.47,random_edgesnum = 267.43,average_time = 119.07
nodesum = 156,edgesum = 805,Round = 684,failcases = 93.80,bottlenecks = 5.40,random_nodesnum = 107.27,random_edgesnum = 257.67,average_time = 150.73
nodesum = 115,edgesum = 567,Round = 482,failcases = 173.80,bottlenecks = 9.23,random_nodesnum = 85.33,random_edgesnum = 214.47,average_time = 85.30
nodesum = 120,edgesum = 638,Round = 547,failcases = 73.60,bottlenecks = 5.63,random_nodesnum = 86.80,random_edgesnum = 226.50,average_time = 73.63
nodesum = 147,edgesum = 706,Round = 597,failcases = 76.30,bottlenecks = 8.00,random_nodesnum = 101.37,random_edgesnum = 249.10,average_time = 110.60
nodesum = 64,edgesum = 226,Round = 187,failcases = 119.03,bottlenecks = 9.70,random_nodesnum = 55.77,random_edgesnum = 133.63,average_time = 16.67
nodesum = 31,edgesum = 160,Round = 145,failcases = 18.23,bottlenecks = 2.17,random_nodesnum = 29.13,random_edgesnum = 90.47,average_time = 3.33
nodesum = 51,edgesum = 274,Round = 244,failcases = 56.37,bottlenecks = 1.13,random_nodesnum = 41.37,random_edgesnum = 116.13,average_time = 9.67
nodesum = 50,edgesum = 232,Round = 201,failcases = 47.77,bottlenecks = 4.07,random_nodesnum = 43.20,random_edgesnum = 115.73,average_time = 7.67
nodesum = 53,edgesum = 191,Round = 163,failcases = 40.97,bottlenecks = 5.33,random_nodesnum = 40.67,random_edgesnum = 99.27,average_time = 6.30
nodesum = 136,edgesum = 642,Round = 541,failcases = 96.27,bottlenecks = 9.63,random_nodesnum = 98.33,random_edgesnum = 240.63,average_time = 94.97
nodesum = 113,edgesum = 495,Round = 415,failcases = 120.60,bottlenecks = 10.43,random_nodesnum = 82.57,random_edgesnum = 203.33,average_time = 62.70
nodesum = 61,edgesum = 321,Round = 282,failcases = 5.93,bottlenecks = 2.63,random_nodesnum = 49.13,random_edgesnum = 139.97,average_time = 12.63
nodesum = 139,edgesum = 677,Round = 573,failcases = 126.37,bottlenecks = 8.57,random_nodesnum = 100.97,random_edgesnum = 250.63,average_time = 111.33
nodesum = 134,edgesum = 695,Round = 600,failcases = 108.33,bottlenecks = 6.47,random_nodesnum = 93.30,random_edgesnum = 228.80,average_time = 103.20
nodesum = 107,edgesum = 564,Round = 485,failcases = 24.97,bottlenecks = 5.03,random_nodesnum = 79.10,random_edgesnum = 213.33,average_time = 49.67
nodesum = 22,edgesum = 60,Round = 54,failcases = 27.07,bottlenecks = 2.33,random_nodesnum = 19.90,random_edgesnum = 41.93,average_time = 0.73
nodesum = 7,edgesum = 10,Round = 11,failcases = 21.00,bottlenecks = 1.00,random_nodesnum = 4.00,random_edgesnum = 2.00,average_time = 0.00
nodesum = 74,edgesum = 345,Round = 291,failcases = 17.43,bottlenecks = 5.43,random_nodesnum = 58.50,random_edgesnum = 152.83,average_time = 17.63
nodesum = 135,edgesum = 701,Round = 603,failcases = 111.20,bottlenecks = 5.67,random_nodesnum = 90.27,random_edgesnum = 224.23,average_time = 102.87
