nodesum = 123,edgesum = 621,Round = 527,failcases = 66.37,bottlenecks = 9.03,random_nodesnum = 84.07,random_edgesnum = 205.63,average_time = 58.30
nodesum = 20,edgesum = 96,Round = 90,failcases = 11.83,bottlenecks = 2.10,random_nodesnum = 19.90,random_edgesnum = 59.67,average_time = 0.73
nodesum = 124,edgesum = 593,Round = 505,failcases = 51.43,bottlenecks = 7.73,random_nodesnum = 88.43,random_edgesnum = 211.77,average_time = 37.33
nodesum = 73,edgesum = 329,Round = 282,failcases = 44.10,bottlenecks = 4.13,random_nodesnum = 53.77,random_edgesnum = 133.03,average_time = 8.93
nodesum = 32,edgesum = 166,Round = 150,failcases = 4.97,bottlenecks = 1.87,random_nodesnum = 28.60,random_edgesnum = 84.07,average_time = 1.67
nodesum = 26,edgesum = 112,Round = 96,failcases = 95.00,bottlenecks = 1.00,random_nodesnum = 10.00,random_edgesnum = 8.00,average_time = 1.00
nodesum = 85,edgesum = 390,Round = 329,failcases = 44.77,bottlenecks = 6.70,random_nodesnum = 66.30,random_edgesnum = 165.50,average_time = 13.67
nodesum = 125,edgesum = 612,Round = 517,failcases = 71.97,bottlenecks = 8.63,random_nodesnum = 86.87,random_edgesnum = 209.90,average_time = 47.67
nodesum = 83,edgesum = 419,Round = 356,failcases = 22.07,bottlenecks = 3.57,random_nodesnum = 61.63,random_edgesnum = 154.93,average_time = 12.47
nodesum = 100,edgesum = 394,Round = 324,failcases = 40.67,bottlenecks = 7.77,random_nodesnum = 75.00,random_edgesnum = 166.47,average_time = 20.13
nodesum = 52,edgesum = 240,Round = 207,failcases = 26.10,bottlenecks = 3.33,random_nodesnum = 41.50,random_edgesnum = 106.20,average_time = 5.00
nodesum = 14,edgesum = 35,Round = 31,failcases = 10.43,bottlenecks = 2.30,random_nodesnum = 13.13,random_edgesnum = 24.50,average_time = 0.07
nodesum = 71,edgesum = 272,Round = 228,failcases = 38.10,bottlenecks = 6.40,random_nodesnum = 57.13,random_edgesnum = 132.87,average_time = 7.97
nodesum = 61,edgesum = 274,Round = 234,failcases = 19.83,bottlenecks = 3.70,random_nodesnum = 49.03,random_edgesnum = 117.43,average_time = 5.37
nodesum = 126,edgesum = 607,Round = 515,failcases = 42.40,bottlenecks = 7.50,random_nodesnum = 84.80,random_edgesnum = 197.37,average_time = 35.00
nodesum = 59,edgesum = 279,Round = 241,failcases = 21.07,bottlenecks = 2.00,random_nodesnum = 44.87,random_edgesnum = 109.30,average_time = 5.03
nodesum = 20,edgesum = 91,Round = 86,failcases = 11.87,bottlenecks = 2.23,random_nodesnum = 19.97,random_edgesnum = 58.97,average_time = 0.67
nodesum = 102,edgesum = 469,Round = 395,failcases = 57.40,bottlenecks = 6.03,random_nodesnum = 72.93,random_edgesnum = 178.70,average_time = 20.67
nodesum = 130,edgesum = 570,Round = 476,failcases = 91.20,bottlenecks = 12.17,random_nodesnum = 89.97,random_edgesnum = 204.03,average_time = 56.33
nodesum = 46,edgesum = 164,Round = 135,failcases = 59.60,bottlenecks = 7.43,random_nodesnum = 38.60,random_edgesnum = 88.20,average_time = 3.67
nodesum = 21,edgesum = 90,Round = 81,failcases = 7.63,bottlenecks = 2.50,random_nodesnum = 19.53,random_edgesnum = 52.83,average_time = 0.67
nodesum = 12,edgesum = 20,Round = 20,failcases = 19.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 0.00
nodesum = 44,edgesum = 179,Round = 154,failcases = 19.43,bottlenecks = 4.30,random_nodesnum = 36.50,random_edgesnum = 93.90,average_time = 2.67
nodesum = 14,edgesum = 49,Round = 44,failcases = 43.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 0.33
nodesum = 147,edgesum = 749,Round = 641,failcases = 34.87,bottlenecks = 4.60,random_nodesnum = 99.20,random_edgesnum = 238.67,average_time = 55.63
