nodesum = 123,edgesum = 621,Round = 527,failcases = 206.93,bottlenecks = 10.50,random_nodesnum = 90.50,random_edgesnum = 243.20,average_time = 188.37
nodesum = 20,edgesum = 96,Round = 90,failcases = 44.40,bottlenecks = 2.87,random_nodesnum = 20.00,random_edgesnum = 77.47,average_time = 3.73
nodesum = 124,edgesum = 593,Round = 505,failcases = 170.57,bottlenecks = 10.07,random_nodesnum = 95.37,random_edgesnum = 249.43,average_time = 163.50
nodesum = 73,edgesum = 329,Round = 282,failcases = 147.70,bottlenecks = 5.40,random_nodesnum = 59.07,random_edgesnum = 158.80,average_time = 36.37
nodesum = 32,edgesum = 166,Round = 150,failcases = 13.77,bottlenecks = 2.47,random_nodesnum = 30.77,random_edgesnum = 103.07,average_time = 6.73
nodesum = 26,edgesum = 112,Round = 96,failcases = 383.00,bottlenecks = 1.00,random_nodesnum = 10.00,random_edgesnum = 8.00,average_time = 4.67
nodesum = 85,edgesum = 390,Round = 329,failcases = 152.83,bottlenecks = 8.47,random_nodesnum = 71.13,random_edgesnum = 195.43,average_time = 55.67
nodesum = 125,edgesum = 612,Round = 517,failcases = 219.43,bottlenecks = 9.10,random_nodesnum = 95.37,random_edgesnum = 251.07,average_time = 171.33
nodesum = 83,edgesum = 419,Round = 356,failcases = 69.10,bottlenecks = 5.37,random_nodesnum = 67.03,random_edgesnum = 187.23,average_time = 48.67
nodesum = 100,edgesum = 394,Round = 324,failcases = 133.60,bottlenecks = 10.27,random_nodesnum = 81.87,random_edgesnum = 198.73,average_time = 69.00
nodesum = 52,edgesum = 240,Round = 207,failcases = 88.27,bottlenecks = 4.23,random_nodesnum = 44.87,random_edgesnum = 128.47,average_time = 15.40
nodesum = 14,edgesum = 35,Round = 31,failcases = 33.10,bottlenecks = 2.93,random_nodesnum = 13.97,random_edgesnum = 30.93,average_time = 0.67
nodesum = 71,edgesum = 272,Round = 228,failcases = 129.53,bottlenecks = 8.97,random_nodesnum = 61.77,random_edgesnum = 159.43,average_time = 31.33
nodesum = 61,edgesum = 274,Round = 234,failcases = 62.47,bottlenecks = 5.07,random_nodesnum = 53.23,random_edgesnum = 141.27,average_time = 21.53
nodesum = 126,edgesum = 607,Round = 515,failcases = 138.77,bottlenecks = 9.80,random_nodesnum = 91.67,random_edgesnum = 233.07,average_time = 147.37
nodesum = 59,edgesum = 279,Round = 241,failcases = 63.40,bottlenecks = 2.43,random_nodesnum = 49.33,random_edgesnum = 131.90,average_time = 20.40
nodesum = 20,edgesum = 91,Round = 86,failcases = 41.60,bottlenecks = 2.87,random_nodesnum = 20.00,random_edgesnum = 75.37,average_time = 3.00
nodesum = 102,edgesum = 469,Round = 395,failcases = 184.73,bottlenecks = 7.30,random_nodesnum = 79.83,random_edgesnum = 214.83,average_time = 85.67
nodesum = 130,edgesum = 570,Round = 476,failcases = 297.83,bottlenecks = 14.30,random_nodesnum = 97.63,random_edgesnum = 241.00,average_time = 224.50
nodesum = 46,edgesum = 164,Round = 135,failcases = 196.50,bottlenecks = 9.17,random_nodesnum = 41.53,random_edgesnum = 104.67,average_time = 15.87
nodesum = 21,edgesum = 90,Round = 81,failcases = 22.90,bottlenecks = 3.03,random_nodesnum = 20.80,random_edgesnum = 66.80,average_time = 2.33
nodesum = 12,edgesum = 20,Round = 20,failcases = 79.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 0.33
nodesum = 44,edgesum = 179,Round = 154,failcases = 62.30,bottlenecks = 4.97,random_nodesnum = 39.17,random_edgesnum = 111.87,average_time = 10.67
nodesum = 14,edgesum = 49,Round = 44,failcases = 175.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 1.00
nodesum = 147,edgesum = 749,Round = 641,failcases = 112.67,bottlenecks = 6.47,random_nodesnum = 107.83,random_edgesnum = 282.60,average_time = 229.00
nodesum = 112,edgesum = 494,Round = 418,failcases = 165.30,bottlenecks = 9.90,random_nodesnum = 85.77,random_edgesnum = 214.33,average_time = 121.50
nodesum = 124,edgesum = 604,Round = 511,failcases = 201.20,bottlenecks = 7.80,random_nodesnum = 96.37,random_edgesnum = 252.43,average_time = 171.17
nodesum = 22,edgesum = 61,Round = 57,failcases = 227.00,bottlenecks = 1.00,random_nodesnum = 8.00,random_edgesnum = 6.00,average_time = 2.00
nodesum = 147,edgesum = 671,Round = 566,failcases = 185.93,bottlenecks = 10.00,random_nodesnum = 108.97,random_edgesnum = 270.77,average_time = 245.00
nodesum = 86,edgesum = 410,Round = 349,failcases = 28.87,bottlenecks = 4.87,random_nodesnum = 70.97,random_edgesnum = 190.50,average_time = 54.63
nodesum = 53,edgesum = 230,Round = 192,failcases = 189.73,bottlenecks = 5.83,random_nodesnum = 44.53,random_edgesnum = 129.63,average_time = 21.03
nodesum = 39,edgesum = 178,Round = 152,failcases = 97.70,bottlenecks = 5.30,random_nodesnum = 35.70,random_edgesnum = 112.40,average_time = 10.33
nodesum = 30,edgesum = 136,Round = 122,failcases = 52.77,bottlenecks = 2.57,random_nodesnum = 28.93,random_edgesnum = 90.60,average_time = 5.33
nodesum = 47,edgesum = 209,Round = 181,failcases = 34.83,bottlenecks = 3.67,random_nodesnum = 40.30,random_edgesnum = 117.50,average_time = 12.07
nodesum = 115,edgesum = 481,Round = 398,failcases = 126.43,bottlenecks = 10.30,random_nodesnum = 86.17,random_edgesnum = 218.53,average_time = 102.00
nodesum = 40,edgesum = 140,Round = 119,failcases = 94.70,bottlenecks = 4.80,random_nodesnum = 35.23,random_edgesnum = 87.13,average_time = 7.33
nodesum = 149,edgesum = 731,Round = 618,failcases = 271.30,bottlenecks = 9.50,random_nodesnum = 108.10,random_edgesnum = 270.73,average_time = 295.33
nodesum = 127,edgesum = 610,Round = 517,failcases = 147.77,bottlenecks = 8.63,random_nodesnum = 94.33,random_edgesnum = 247.53,average_time = 155.87
nodesum = 78,edgesum = 383,Round = 334,failcases = 247.23,bottlenecks = 4.93,random_nodesnum = 60.63,random_edgesnum = 166.17,average_time = 52.93
nodesum = 37,edgesum = 140,Round = 122,failcases = 152.73,bottlenecks = 5.03,random_nodesnum = 34.37,random_edgesnum = 92.47,average_time = 9.07
nodesum = 68,edgesum = 247,Round = 205,failcases = 88.53,bottlenecks = 5.27,random_nodesnum = 55.23,random_edgesnum = 135.07,average_time = 22.33
nodesum = 116,edgesum = 546,Round = 462,failcases = 89.20,bottlenecks = 8.13,random_nodesnum = 90.17,random_edgesnum = 230.10,average_time = 115.33
nodesum = 141,edgesum = 661,Round = 559,failcases = 115.23,bottlenecks = 7.47,random_nodesnum = 101.30,random_edgesnum = 254.27,average_time = 184.33
nodesum = 36,edgesum = 141,Round = 121,failcases = 20.10,bottlenecks = 3.97,random_nodesnum = 33.30,random_edgesnum = 85.83,average_time = 5.43
nodesum = 70,edgesum = 318,Round = 271,failcases = 212.57,bottlenecks = 6.63,random_nodesnum = 56.17,random_edgesnum = 155.90,average_time = 42.33
nodesum = 103,edgesum = 393,Round = 327,failcases = 107.20,bottlenecks = 7.97,random_nodesnum = 81.73,random_edgesnum = 198.23,average_time = 65.40
nodesum = 144,edgesum = 691,Round = 582,failcases = 169.37,bottlenecks = 9.97,random_nodesnum = 106.40,random_edgesnum = 273.23,average_time = 223.67
nodesum = 120,edgesum = 506,Round = 422,failcases = 68.10,bottlenecks = 6.03,random_nodesnum = 92.73,random_edgesnum = 220.73,average_time = 101.70
nodesum = 10,edgesum = 21,Round = 22,failcases = 86.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 3.00,average_time = 0.40
nodesum = 116,edgesum = 624,Round = 535,failcases = 20.07,bottlenecks = 6.03,random_nodesnum = 88.17,random_edgesnum = 241.37,average_time = 127.67
nodesum = 78,edgesum = 268,Round = 217,failcases = 213.93,bottlenecks = 11.63,random_nodesnum = 62.07,random_edgesnum = 153.53,average_time = 44.40
nodesum = 134,edgesum = 679,Round = 580,failcases = 152.53,bottlenecks = 8.40,random_nodesnum = 99.77,random_edgesnum = 256.70,average_time = 194.03
nodesum = 14,edgesum = 49,Round = 44,failcases = 174.00,bottlenecks = 1.00,random_nodesnum = 9.00,random_edgesnum = 6.00,average_time = 1.07
nodesum = 85,edgesum = 338,Round = 278,failcases = 191.93,bottlenecks = 10.23,random_nodesnum = 72.97,random_edgesnum = 180.03,average_time = 60.53
nodesum = 38,edgesum = 163,Round = 142,failcases = 55.50,bottlenecks = 5.27,random_nodesnum = 35.77,random_edgesnum = 109.00,average_time = 8.23
nodesum = 139,edgesum = 663,Round = 564,failcases = 184.43,bottlenecks = 9.17,random_nodesnum = 100.37,random_edgesnum = 253.97,average_time = 205.17
nodesum = 60,edgesum = 268,Round = 226,failcases = 100.33,bottlenecks = 4.57,random_nodesnum = 50.00,random_edgesnum = 135.50,average_time = 22.43
